"차종","엔진","트림","외장칼라","내장칼라","생산번호","출고센터","생산일","옵션","판매가격(만원)","기본조건","생산월조건","판촉차조건","페스타조건","슈퍼세이브조건","조건 계"
"GV70","가솔린","","우유니 화이트","하바나 브라운","0R  236957","담양출고","2025-04-22 00:00:00","빌트인 캠 패키지,파퓰러 패키지1","5995","","","","","150","150"
"GV70","가솔린","","우유니 화이트","바닐라베이지투톤","0R  236964","울산배송","2025-04-22 00:00:00","드라이빙 어시스턴스 패키지1,빌트인 캠 패키지","5660","","","","","150","150"
"GV70","가솔린","","우유니 화이트","바닐라베이지투톤","0R  236960","울산배송","2025-04-22 00:00:00","드라이빙 어시스턴스 패키지1,빌트인 캠 패키지","5660","","","","","150","150"
"GV70","가솔린","","우유니 화이트","바닐라베이지투톤","0R  237402","전주출고","2025-04-22 00:00:00","드라이빙 어시스턴스 패키지1","5575","","","","","150","150"
"GV70","가솔린","","우유니 화이트","바닐라베이지투톤","0R  237408","영남출고","2025-04-23 00:00:00","드라이빙 어시스턴스 패키지1","5575","","","","","150","150"
"GV70","가솔린","","우유니 화이트","바닐라베이지투톤","0R  237407","담양출고","2025-04-23 00:00:00","드라이빙 어시스턴스 패키지1","5575","","","","","150","150"
"GV70","가솔린","","세빌 실버","바닐라베이지투톤","0R  237476","울산출고","2025-04-24 00:00:00","파퓰러 패키지2,뱅앤올룹슨 사운드 패키지,빌트인 캠 패키지","6705","","","","","250","250"
"GV70","가솔린","","우유니 화이트","하바나 브라운","0R  237640","울산출고","2025-04-24 00:00:00","드라이빙 어시스턴스 패키지2","5750","","","","","150","150"
"GV70","가솔린","","우유니 화이트","블랙원톤","0R  237439","함안출고","2025-04-24 00:00:00","파퓰러 패키지1","5740","","","","","150","150"
"GV70","가솔린","","우유니 화이트","바닐라베이지투톤","0R  237657","울산배송","2025-04-24 00:00:00","드라이빙 어시스턴스 패키지1,빌트인 캠 패키지","5660","","","","","150","150"
"GV70","가솔린","","우유니 화이트","바닐라베이지투톤","0R  237655","울산배송","2025-04-24 00:00:00","드라이빙 어시스턴스 패키지1,빌트인 캠 패키지","5660","","","","","150","150"
"GV70","가솔린","","우유니 화이트","바닐라베이지투톤","0R  237652","울산배송","2025-04-24 00:00:00","드라이빙 어시스턴스 패키지1,빌트인 캠 패키지","5660","","","","","150","150"
"GV70","가솔린","","우유니 화이트","블랙원톤","0R  237387","울산배송","2025-04-24 00:00:00","드라이빙 어시스턴스 패키지1,빌트인 캠 패키지","5660","","","","","150","150"
"GV70","가솔린","","우유니 화이트","바닐라베이지투톤","0R  237650","울산배송","2025-04-24 00:00:00","드라이빙 어시스턴스 패키지1,빌트인 캠 패키지","5660","","","","","150","150"
"GV70","가솔린","","우유니 화이트","바닐라베이지투톤","0R  237654","울산배송","2025-04-24 00:00:00","드라이빙 어시스턴스 패키지1,빌트인 캠 패키지","5660","","","","","150","150"
"GV70","가솔린","","우유니 화이트","바닐라베이지투톤","0R  237646","울산배송","2025-04-24 00:00:00","드라이빙 어시스턴스 패키지1","5575","","","","","150","150"
"GV70","가솔린","","우유니 화이트","바닐라베이지투톤","0R  237647","울산배송","2025-04-24 00:00:00","드라이빙 어시스턴스 패키지1","5575","","","","","150","150"
"GV70","가솔린","","우유니 화이트","블랙원톤","0R  237671","울산배송","2025-04-25 00:00:00","빌트인 캠 패키지","5465","","","","","150","150"
"GV70","가솔린","","마테호른 화이트(무광)","옵시디언블랙모노","0R  237674","울산배송","2025-04-25 00:00:00","파퓰러 패키지2,빌트인 캠 패키지","7490","","","","","250","250"
"GV70","가솔린","","우유니 화이트","바닐라베이지투톤","0R  237543","영남출고","2025-04-25 00:00:00","빌트인 캠 패키지,파노라마 선루프,드라이빙 어시스턴스 패키지1","6430","","","","","150","150"
"GV70","가솔린","","우유니 화이트","하바나 브라운","0R  237753","울산배송","2025-04-26 00:00:00","빌트인 캠 패키지,파퓰러 패키지1","6295","","","","","150","150"
"GV70","가솔린","","우유니 화이트","하바나 브라운","0R  237771","울산배송","2025-04-26 00:00:00","빌트인 캠 패키지,파퓰러 패키지1","6295","","","","","150","150"
"GV70","가솔린","","우유니 화이트","하바나 브라운","0R  237773","울산배송","2025-04-26 00:00:00","빌트인 캠 패키지,파퓰러 패키지1","6295","","","","","150","150"
"GV70","가솔린","","우유니 화이트","하바나 브라운","0R  237788","영남출고","2025-04-26 00:00:00","빌트인 캠 패키지,파퓰러 패키지1","6295","","","","","150","150"
"GV70","가솔린","","우유니 화이트","하바나 브라운","0R  237799","남양출고","2025-04-26 00:00:00","빌트인 캠 패키지,파퓰러 패키지1","6295","","","","","150","150"
"GV70","가솔린","","우유니 화이트","하바나 브라운","0R  237956","칠곡출고","2025-04-26 00:00:00","빌트인 캠 패키지,파퓰러 패키지1","6295","","","","","150","150"
"GV70","가솔린","","우유니 화이트","하바나 브라운","0R  238475","칠곡출고","2025-04-28 00:00:00","파퓰러 패키지2","6560","","","","","150","150"
"GV70","가솔린","","세빌 실버","하바나 브라운","0R  238162","시흥출고","2025-04-29 00:00:00","아웃도어 패키지,파퓰러 패키지1","6250","","","","","150","150"
"GV70","가솔린","","세빌 실버","하바나 브라운","0R  227044","함안출고","2025-04-29 00:00:00","드라이빙 어시스턴스 패키지1,파노라마 선루프,2열 컴포트 패키지,빌트인 캠 패키지","6470","","","","","150","150"
"GV70","가솔린","","마우나 레드","스포츠전용_바닐라 베이지 투톤","0R  221247","함안출고","2025-01-03 00:00:00","파퓰러 패키지2,빌트인 캠 패키지,뱅앤올룹슨 사운드 패키지","7250","","","","","400","400"
"GV70","가솔린","","세빌 실버","블랙원톤","0R  222937","울산출고","2025-01-16 00:00:00","빌트인 캠 패키지,드라이빙 어시스턴스 패키지2,드라이빙 어시스턴스 패키지1","6440","","","","","400","400"
